PermitNum,AppliedDate,PermitType,PermitClass,PermitClassGroup,PermitClassMapped,WorkClass,Description
BP2022-07875,2022/05/12,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,Red Embers Development Building 'C'
BP2022-07877,2022/05/12,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,Red Embers Development Building 'D'
BP2022-07885,2022/05/12,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,Red Embers Development Building 'B'
BP2022-12536,2022/07/19,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,Red Embers Development 'A'
BP2021-18625,2021/10/27,Commercial / Multi Family Project,3301 - Car Wash,Commercial,Non-Residential,New,New Carwash building
BP2023-07968,2023/05/28,Commercial / Multi Family Project,3507 - Community Centre,Commercial,Non-Residential,New,Outdoor Pavilion
BP2021-21518,2021/12/21,Commercial / Multi Family Project,3203 - Warehouse,Commercial,Non-Residential,New,Quarry Station Warehouse Core & Shell
BP2023-00504,2023/01/16,Commercial / Multi Family Project,3399 - Motor-Vehicle Misc.,Commercial,Non-Residential,New,2 storage garages (tents)
BP2023-05865,2023/04/28,Commercial / Multi Family Project,3203 - Warehouse,Commercial,Non-Residential,New,ATCO Modular Factory Buildings for SAIT
BP2023-08125,2023/05/30,Commercial / Multi Family Project,4002 - Vacant,General,Non-Residential,New,
BP2018-03728,2018/04/06,Commercial / Multi Family Project,7002 - Private Retaining Wall,Retaining Wall,Non-Residential,New,
BP2023-05932,2023/04/28,Commercial / Multi Family Project,4002 - Vacant,General,Non-Residential,New,
BP2021-13470,2021/07/30,Commercial / Multi Family Project,3107 - Shopping Centre,Commercial,Non-Residential,New,Seton Crossing Building #4
BP2022-19587,2022/12/01,Commercial / Multi Family Project,4002 - Vacant,General,Non-Residential,New,6 Unit Residential Rowhouse - Building 10
BP2023-08329,2023/06/01,Commercial / Multi Family Project,3203 - Warehouse,Commercial,Non-Residential,New,
BP2023-04818,2023/04/12,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,New Base Building
BP2018-12404,2018/09/14,Commercial / Multi Family Project,3299 - Storage/Warehouse Misc.,Commercial,Non-Residential,New,BMW/Infinity Hail Shelters - 4 Buildings
BP2019-11288,2019/08/20,Commercial / Multi Family Project,3303 - Gas Bar,Commercial,Non-Residential,New,"Dalhousie Co-op Building C & D and E (Multi-Tenant Retail Building, Liquor Store & Gas Canopy)"
BP2019-14389,2019/10/21,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,52 Street SE Commercial Building A
BP2022-06332,2022/04/20,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,New Shell Building
BP2021-02057,2021/02/09,Commercial / Multi Family Project,"5109 - School, Public",Institutional,Non-Residential,New,New Skyview Ranch K-9 School
BP2022-10908,2022/06/22,Commercial / Multi Family Project,6305 - Fire,Government,Non-Residential,New,Varsity Multi-Services Redevelopment
BP2023-02669,2023/03/03,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,"New Industrial Building (Building A), Group F2"
BP2021-19899,2021/11/19,Commercial / Multi Family Project,3499 - Office/Bank/Professional Misc.,Commercial,Non-Residential,New,Mixed Use Group E and D - Base building
BP2023-06098,2023/05/02,Commercial / Multi Family Project,3203 - Warehouse,Commercial,Non-Residential,New,
BP2023-08210,2023/05/31,Commercial / Multi Family Project,"5111 - School, Separate",Institutional,Non-Residential,New,"Installation of 1 modular classroom, Group A2"
BP2023-08215,2023/05/31,Commercial / Multi Family Project,3299 - Storage/Warehouse Misc.,Commercial,Non-Residential,New,
BP2023-08264,2023/05/31,Commercial / Multi Family Project,"5111 - School, Separate",Institutional,Non-Residential,New,School - Relocation of 2 Portable Classrooms - Mother Mary Greene Portables
BP2023-05871,2023/04/28,Commercial / Multi Family Project,2306 - Parking Garage,Industrial,Non-Residential,New,4 Unit garage units A-D (right)
BP2023-05872,2023/04/28,Commercial / Multi Family Project,2306 - Parking Garage,Industrial,Non-Residential,New,4 Unit garage units E-H (Left)
BP2023-07063,2023/05/15,Commercial / Multi Family Project,5105 - Day-Care,Institutional,Non-Residential,New,New Base Building
BP2020-00567,2020/01/16,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,Royal Vista Landing - Building B Shell Building
BP2019-14391,2019/10/21,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,52 Street Commercial Building - Building B
BP2019-14392,2019/10/21,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,52 Street SE Commerical Building - Building C
BP2020-00568,2020/01/16,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,"Royal Vista Landing Building 'C"""
BP2020-04618,2020/04/21,Commercial / Multi Family Project,2497 - Engineer/Utility Misc.,Industrial,Non-Residential,New,17 Avenue SE Stampede Crossing (17SX) - Utility Complex Building
BP2022-00059,2022/01/03,Commercial / Multi Family Project,3301 - Car Wash,Commercial,Non-Residential,New,South Trail Car Wash
BP2019-14394,2019/10/21,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,52 Street SE Commerical Building - Building D
BP2019-16068,2019/11/27,Commercial / Multi Family Project,3608 - Restaurant,Commercial,Non-Residential,New,Cityscape Commercial Development - Building B: 1 storey restaurant building
BP2021-13759,2021/08/05,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,Exterior upgrade (COTTS Beverages).
BP2023-08299,2023/06/01,Commercial / Multi Family Project,"5114 - School, Other",Institutional,Non-Residential,New,School - portable relocation - Msgr. JS Smith Portable Classroom
BP2023-13398,2023/08/14,Commercial / Multi Family Project,4002 - Vacant,General,Non-Residential,New,
BP2023-13401,2023/08/14,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Grand Trunk Festival
BP2023-13416,2023/08/14,Commercial / Multi Family Project,4002 - Vacant,General,Non-Residential,New,
BP2023-10182,2023/06/27,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,New Building (Falconridge Commercial Development)
BP2019-16083,2019/11/27,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,Cityscape Commercial Development - Building F
BP2023-00772,2023/01/20,Commercial / Multi Family Project,5301 - Child Care Facility,Institutional,Non-Residential,New,New 1 Storey Building (Group A2)
BP2023-07064,2023/05/15,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,New Base Building
BP2023-07065,2023/05/15,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,New Base Building
BP2023-07066,2023/05/15,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,New Base Building
BP2023-07094,2023/05/16,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,New Base Building
BP2021-10412,2021/06/11,Commercial / Multi Family Project,3203 - Warehouse,Commercial,Non-Residential,New,YYC Project Violin
BP2022-05606,2022/04/08,Commercial / Multi Family Project,3613 - Restaurant - Licensed,Commercial,Non-Residential,New,Group A2 Assembly 3.2.2.25.
BP2022-06568,2022/04/25,Commercial / Multi Family Project,2105 - Brewery/Distillery,Industrial,Non-Residential,New,Alberta Distillers Limited Pallet Warehouse
BP2021-03918,2021/03/16,Commercial / Multi Family Project,3399 - Motor-Vehicle Misc.,Commercial,Non-Residential,New,Interior and exterior alteration.
BP2022-17394,2022/10/13,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,Sage Hill Commons Mixed-Use Bldg. F
BP2023-01070,2023/01/27,Commercial / Multi Family Project,6204 - Public Works,Government,Non-Residential,New,
BP2023-03534,2023/03/20,Commercial / Multi Family Project,3299 - Storage/Warehouse Misc.,Commercial,Non-Residential,New,New building
BP2023-03536,2023/03/20,Commercial / Multi Family Project,3402 - Office,Commercial,Non-Residential,New,New building
BP2023-03660,2023/03/22,Commercial / Multi Family Project,3303 - Gas Bar,Commercial,Non-Residential,New,Gas Bar - Convenience Store Gas Bar - Horizon 48 - Building 'A'
BP2019-02647,2019/03/15,Commercial / Multi Family Project,3607 - Hotel/Motel,Commercial,Non-Residential,New,Alt Hotel - 15 Storey Hotel
BP2020-14224,2020/10/01,Commercial / Multi Family Project,"5109 - School, Public",Institutional,Non-Residential,New,Construction of the North Calgary High School for the Calgary Board of Education.
BP2022-10062,2022/06/10,Commercial / Multi Family Project,6105 - Public Works,Government,Non-Residential,New,South Hill Sanitary Lift Station Refurbishment
BP2021-14889,2021/08/24,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,Wolf Willow Commercial - Building 2
BP2023-10847,2023/07/07,Commercial / Multi Family Project,2399 - Indust/Utility Misc.,Industrial,Non-Residential,New,Bonaventure Apartments - Emergency Generator Replacement
BP2023-10881,2023/07/07,Commercial / Multi Family Project,"5109 - School, Public",Institutional,Non-Residential,New,School - portable relocation - St. Alphonsus Portable Classroom Addition
BP2023-10888,2023/07/07,Commercial / Multi Family Project,"5111 - School, Separate",Institutional,Non-Residential,New,School A2 - relocation of portable - St. Alphonsus Portable Classroom Addition
BP2023-10891,2023/07/07,Commercial / Multi Family Project,"5114 - School, Other",Institutional,Non-Residential,New,School A2 - relocation of portable classroom - St. Ambrose Portable Addition
BP2023-06795,2023/05/11,Commercial / Multi Family Project,2408 - Sewage Station,Industrial,Non-Residential,New,Palliser Sanitary Lift Station ¿ Addition & Upgrades
BP2022-19671,2022/12/02,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,New Building (Building 2)
BP2022-19672,2022/12/02,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,New Building (Building 3)
BP2023-03749,2023/03/23,Commercial / Multi Family Project,5199 - Education Misc.,Institutional,Non-Residential,New,"Construction of Modular School Portable Classrooms, Group A2."
BP2021-09594,2021/06/01,Commercial / Multi Family Project,3107 - Shopping Centre,Commercial,Non-Residential,New,Cornerstone Commercial - Building L - 1155 CORNERSTONE BV NE
BP2022-04736,2022/03/28,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,New Ivory Business Centre Building
BP2019-10425,2019/08/06,Commercial / Multi Family Project,5302 - Senior Citizen Homes,Institutional,Non-Residential,New,Riverwalk Senior Living Building: 12 storey care facility building
BP2023-06543,2023/05/08,Commercial / Multi Family Project,3203 - Warehouse,Commercial,Non-Residential,New,
BP2019-16076,2019/11/27,Commercial / Multi Family Project,3608 - Restaurant,Commercial,Non-Residential,New,Cityscape Commercial Development - Building E
BP2023-08537,2023/06/05,Commercial / Multi Family Project,3608 - Restaurant,Commercial,Non-Residential,New,"New 1 storey building, Group A2"
BP2021-14007,2021/08/10,Commercial / Multi Family Project,3107 - Shopping Centre,Commercial,Non-Residential,New,Carrington Green Commercial - Building D
BP2021-14008,2021/08/10,Commercial / Multi Family Project,3107 - Shopping Centre,Commercial,Non-Residential,New,Carrington Green Commercial - Building E
BP2021-14010,2021/08/10,Commercial / Multi Family Project,3107 - Shopping Centre,Commercial,Non-Residential,New,Carrington Green Commercial - Building F
BP2015-13894,2015/10/22,Commercial / Multi Family Project,3402 - Office,Commercial,Non-Residential,New,New 2 storey retail/office building
BP2023-07062,2023/05/15,Commercial / Multi Family Project,5303 - Special Care Facility,Institutional,Non-Residential,New,Wood's Homes Cottage E
BP2021-02973,2021/02/26,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,Royal Vista Phase 3 Building # E
BP2020-14615,2020/10/07,Commercial / Multi Family Project,2382 - Water Pumping Station,Industrial,Non-Residential,New,Starlight East Pump Station
BP2022-01357,2022/01/28,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,Rocky Mountain Film Studio - 2 Stage Building
BP2021-21111,2021/12/13,Commercial / Multi Family Project,3613 - Restaurant - Licensed,Commercial,Non-Residential,New,Carrington Green Commercial - Building H
BP2021-21651,2021/12/23,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,Carrington Green Commercial - Building I
BP2023-06792,2023/05/11,Commercial / Multi Family Project,5522 - Institutional,Institutional,Non-Residential,New,Overhead Plaza Structure
BP2021-02972,2021/02/26,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,Royal Vista Building # D - Shell Building
BP2022-07469,2022/05/05,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,Jackson Port Business Complex NE
BP2018-05909,2018/05/18,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,"Royal Vista Landing, Building A (Revised project name from Royal Vista Convention Centre)"
BP2023-08766,2023/06/07,Commercial / Multi Family Project,2497 - Engineer/Utility Misc.,Industrial,Non-Residential,New,Creekrise Sanitary Lift Station
BP2023-01086,2023/01/27,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Calgary Stampede Parade Bleachers 2022
BP2023-10971,2023/07/10,Commercial / Multi Family Project,3299 - Storage/Warehouse Misc.,Commercial,Non-Residential,New,New Building (Bluebird Self Storage - Horizon)
