CommunityName,Sector
MACEWAN GLEN,NORTH
MAHOGANY,SOUTHEAST
MANCHESTER,CENTRE
MANCHESTER INDUSTRIAL,CENTRE
MAPLE RIDGE,SOUTH
MARLBOROUGH,NORTHEAST
MARLBOROUGH PARK,NORTHEAST
MARTINDALE,NORTHEAST
MAYFAIR,CENTRE
MAYLAND,NORTHEAST
MAYLAND HEIGHTS,NORTHEAST
MCCALL,NORTHEAST
MCKENZIE LAKE,SOUTHEAST
MCKENZIE TOWNE,SOUTHEAST
MEADOWLARK PARK,CENTRE
MEDICINE HILL,WEST
MERIDIAN,NORTHEAST
MIDNAPORE,SOUTH
MILLRISE,SOUTH
MISSION,CENTRE
MONTEREY PARK,NORTHEAST
MONTGOMERY,NORTHWEST
MOUNT PLEASANT,CENTRE
MOUNT ROYAL LOWER,CENTRE
NEW BRIGHTON,SOUTHEAST
NOLAN HILL,NORTH
NORTH AIRWAYS,NORTHEAST
NORTH GLENMORE PARK,WEST
NORTH HAVEN,NORTH
NORTH HAVEN UPPER,NORTH
NOSE HILL PARK,NORTHWEST
OAKRIDGE,SOUTH
OGDEN,SOUTHEAST
OGDEN SHOPS,EAST
OSPREY HILL,WEST
PALLISER,SOUTH
PANORAMA HILLS,NORTH
PARKDALE,CENTRE
PARKHILL,CENTRE
PARKLAND,SOUTH
PATTERSON,WEST
PEGASUS,NORTHEAST
PENBROOKE MEADOWS,EAST
PINE CREEK,SOUTH
PINERIDGE,NORTHEAST
POINT MCKAY,CENTRE
PUMP HILL,SOUTH
QUEENS PARK VILLAGE,CENTRE
QUEENSLAND,SOUTH
RAMSAY,CENTRE
RANCHLANDS,NORTHEAST
RANGEVIEW,SOUTHEAST
RED CARPET,EAST
REDSTONE,NORTHEAST
RENFREW,CENTRE
RESIDUAL WARD 1 - (SUB AREA 1B),NORTHWEST
RESIDUAL WARD 1 - CALGARY WEST,WEST
RESIDUAL WARD 1 - SUB AREA 01F,NORTHWEST
RESIDUAL WARD 1 - SUB AREA 01H,WEST
RESIDUAL WARD 1 - SUB AREA 01I,NORTHWEST
RESIDUAL WARD 1 - SUB AREA 1K,NORTHWEST
RESIDUAL WARD 10 - SUB AREA 10D,NORTHEAST
RESIDUAL WARD 10 - SUB AREA 10E,NORTHEAST
RESIDUAL WARD 12 - SUB AREA 12A,SOUTHEAST
RESIDUAL WARD 12 - SUB AREA 12B,SOUTHEAST
RESIDUAL WARD 12 - SUB AREA 12C,SOUTHEAST
RESIDUAL WARD 12 - SUB AREA 12J,SOUTHEAST
RESIDUAL WARD 12 - SUB AREA 12L,SOUTHEAST
RESIDUAL WARD 12- SUB AREA 12K,SOUTHEAST
RESIDUAL WARD 13 - SUB AREA 13A,SOUTH
RESIDUAL WARD 13 - SUB AREA 13D,SOUTH
RESIDUAL WARD 13 - SUB AREA 13F,SOUTH
RESIDUAL WARD 13 - SUB AREA 13G,SOUTH
RESIDUAL WARD 13 - SUB AREA 13H,SOUTH
RESIDUAL WARD 13 - SUB AREA 13I,SOUTH
RESIDUAL WARD 13 - SUB AREA 13J,SOUTH
RESIDUAL WARD 13 - SUB AREA 13K,SOUTH
RESIDUAL WARD 13 - SUB AREA 13M,SOUTH
RESIDUAL WARD 2 - SUB AREA 02K,NORTH
RESIDUAL WARD 2 - SUB AREA 02L,NORTH
RESIDUAL WARD 2 - SUB AREA 2B,NORTH
RESIDUAL WARD 2 - SUB AREA 2C,NORTH
RESIDUAL WARD 2 - SUB AREA 2E,NORTHWEST
RESIDUAL WARD 2 - SUB AREA 2F,NORTHWEST
RESIDUAL WARD 3 - SUB AREA 03W,NORTH
RESIDUAL WARD 5 - SUB AREA 5D,NORTHEAST
RESIDUAL WARD 5 - SUB AREA 5E,NORTHEAST
RESIDUAL WARD 5 - SUB AREA 5F,NORTHEAST
RESIDUAL WARD 6,WEST
RESIDUAL WARD 6 - CANADA OLYMPIC PARK,WEST
RESIDUAL WARD 6 - SUB AREA 6B,WEST
RESIDUAL WARD 9 - SUB AREA 09O,EAST
RESIDUAL WARD 9 - SUB AREA 9H,EAST
RESIDUAL WARD 9 - SUB AREA 9K,EAST
RESIDUAL WARD 9 - SUB AREA 9P,EAST
RESIDUAL WARD 9 - SUB AREA 9Q,EAST
RICHMOND,CENTRE
RIDEAU PARK,CENTRE
RIVERBEND,SOUTHEAST
ROCKY RIDGE,NORTHWEST
ROSEDALE,CENTRE
ROSEMONT,CENTRE
ROSSCARROCK,WEST
ROXBORO,CENTRE
ROYAL OAK,NORTHWEST
ROYAL VISTA,NORTHWEST
RUNDLE,NORTHEAST
RUTLAND PARK,WEST
SADDLE RIDGE,NORTHEAST
SADDLE RIDGE INDUSTRIAL,NORTHEAST
SAGE HILL,NORTH
SANDSTONE VALLEY,NORTH
SCARBORO,CENTRE
SCARBORO/SUNALTA WEST,CENTRE
SCENIC ACRES,NORTHWEST
SECTION 23,SOUTHEAST
SETON,SOUTHEAST
SHAGANAPPI,CENTRE
SHAWNEE SLOPES,SOUTH
SHAWNESSY,SOUTH
SHEPARD INDUSTRIAL,SOUTHEAST
SHERWOOD,NORTH
SIGNAL HILL,WEST
SILVER SPRINGS,NORTHWEST
SILVERADO,SOUTH
SKYLINE EAST,NORTHEAST
SKYLINE WEST,NORTH
SKYVIEW RANCH,NORTHEAST
SOMERSET,SOUTH
SOUTH AIRWAYS,NORTHEAST
SOUTH CALGARY,CENTRE
SOUTH FOOTHILLS,SOUTHEAST
SOUTHVIEW,EAST
SOUTHWOOD,SOUTH
SPRINGBANK HILL,WEST
SPRUCE CLIFF,WEST
ST. ANDREWS HEIGHTS,CENTRE
STARFIELD,EAST
STONEGATE LANDING,NORTHEAST
STONEY 1,NORTH
STONEY 2,NORTHEAST
STONEY 3,NORTHEAST
STONEY 4,NORTHEAST
STRATHCONA PARK,WEST
SUNALTA,CENTRE
SUNDANCE,SOUTH
SUNNYSIDE,CENTRE
SUNRIDGE,NORTHEAST
SYMONS VALLEY RANCH,NORTH
TARADALE,NORTHEAST
TEMPLE,NORTHEAST
THORNCLIFFE,NORTH
TUSCANY,NORTHWEST
TUXEDO PARK,CENTRE
TWINHILLS,EAST
UNIVERSITY DISTRICT,NORTHWEST
UNIVERSITY HEIGHTS,NORTHWEST
UNIVERSITY OF CALGARY,NORTHWEST
UPPER MOUNT ROYAL,CENTRE
VALLEY RIDGE,WEST
VALLEYFIELD,EAST
VARSITY,NORTHWEST
VISTA HEIGHTS,NORTHEAST
WALDEN,SOUTH
WEST HILLHURST,CENTRE
WEST SPRINGS,WEST
WESTGATE,WEST
WESTWINDS,NORTHEAST
WHITEHORN,NORTHEAST
WILDWOOD,WEST
WILLOW PARK,SOUTH
WINDSOR PARK,CENTRE
WINSTON HEIGHTS/MOUNTVIEW,CENTRE
WOLF WILLOW,SOUTH
WOODBINE,SOUTH
WOODLANDS,SOUTH
YORKVILLE,SOUTH
